variant,pcap,chunk,timestamp,true_flows,visible_flows,hidden_flows,spurious_flows,coverage,true_packets,est_packets,packet_acc,AAE,ARE,pct_exact,alg4_pct,alg5_pct,exact_pct,alg6_pct,min_pct,AAE_1pkt,ARE_1pkt,AAE_2pkt,ARE_2pkt,AAE_3pkt,ARE_3pkt,AAE_4_10,ARE_4_10,AAE_11_100,ARE_11_100,AAE_101plus,ARE_101plus
lazy_bf2m_cms256x1024,130000,00000,2026-05-22T02:21:40,470038,466737,3301,2795,0.9929771635484791,4939940,4329887,0.8765059899512949,0.23177935325461663,0.05984396810453779,0.8254155980777182,0.5660596867186446,0.01677818557346,0.0,0.0,0.41716212770789546,0.02832104670506309,0.02832104670506309,0.25048274066520576,0.12524137033260288,0.5867803389116935,0.19559344630391162,0.6854208736316293,0.1204844926421434,0.7091591372777616,0.03729181079193089,1.2270259400764125,0.004933263978210261
lazy_bf2m_cms256x1024,130000,00000,2026-05-22T02:26:36,470038,469099,939,2806,0.9980022891766198,4939940,4794668,0.9705923553727374,0.19268640521510386,0.05297620984342726,0.8591896380081816,0.5685580229333254,0.019381836243522157,0.0,0.0,0.41206014082315245,0.028199338517317374,0.028199338517317374,0.21944354227563062,0.10972177113781531,0.5004462176492205,0.16681540588308133,0.5564453047317274,0.09911196066584883,0.547536231884058,0.028264798648964386,0.9755559639772101,0.003693088553311644
lazy_bf1m_cms256x1024,130000,00000,2026-05-22T02:31:19,470038,467972,2066,2806,0.9956046106910506,4939940,4801861,0.9720484459325417,0.201556930756541,0.06975300714807835,0.8649406374740369,0.4471143572692383,0.016028736762028498,0.0,0.0,0.5368569059687331,0.056127834477702615,0.056127834477702615,0.24001127933712205,0.12000563966856102,0.47459499263622973,0.15819833087874896,0.5077920525050154,0.09049852834711135,0.5195384782845325,0.026629626987153227,0.9557161385955161,0.0036343737041095434
lazy_bf524k_cms256x1024,130000,00000,2026-05-22T02:35:01,470038,460409,9629,2789,0.9795144222382021,4939940,4768276,0.9652497803617048,0.22732179431766103,0.10522908095392842,0.8675786094537683,0.2663501365090604,0.010740450338720573,0.0,0.0,0.722909413152219,0.11429667837486517,0.11429667837486517,0.26665934065934066,0.13332967032967033,0.43558282208588955,0.14519427402863194,0.4483855746545332,0.07979044088144198,0.4776932640971257,0.024203482029481086,0.9244477445702617,0.0035130674395769074
lazy_bf262k_cms256x1024,130000,00000,2026-05-22T02:38:19,470038,414907,55131,2651,0.8827094830630715,4939940,4596914,0.9305606950691708,0.32846396903402447,0.19699751698195203,0.8272480338967527,0.09080348126206596,0.005485566645055398,0.0,0.0,0.9037109520928787,0.2557957831887303,0.2557957831887303,0.35028843622088707,0.17514421811044353,0.455727481320233,0.15190916044007896,0.4494365427503803,0.07931400729708026,0.49194108120613866,0.02477810053041341,0.9375477463712758,0.0036172702864494042
lazy_bf131k_cms256x1024,130000,00000,2026-05-22T02:44:12,470038,285771,184267,2065,0.6079742488905152,4939940,4245777,0.8594794673619518,0.6135402122678648,0.40572442012313537,0.6711107845092749,0.011957126510387687,0.002463510993067876,0.0,0.0,0.9855793624965444,0.5796951784060964,0.5796951784060964,0.6021594135904378,0.3010797067952189,0.6588119783996073,0.2196039927998731,0.6654979393492034,0.11736734163842492,0.6739884942709076,0.03447660070358738,0.9534930541574391,0.003725448232794732
traditional_bf2m_cms256x1024,130000,00000,2026-05-22T02:50:35,470038,466618,3420,2772,0.9927239925282637,4939940,4636184,0.9385101843342227,0.32787419259437056,0.23749534250155646,0.882381305479,0.0,0.0,0.0,0.0,1.0,0.32751992562457377,0.32751992562457377,0.31880594420787345,0.15940297210393672,0.3072537218878682,0.10241790729595496,0.34454610931789686,0.06047593324415942,0.31397786194976646,0.017442543362214603,0.3363445378151261,0.0015050476255808532
traditional_bf1m_cms256x1024,130000,00000,2026-05-22T02:54:43,470038,460971,9067,2754,0.9807100702496394,4939940,4585885,0.9283280768592331,0.3356046258875287,0.24306925492387785,0.8772222113755529,0.0,0.0,0.0,0.0,1.0,0.33546455469504627,0.33546455469504627,0.3266198111135515,0.16330990555677574,0.3145527369826435,0.10485091232754665,0.3514891550663645,0.06163803845699253,0.32155044510385755,0.01785035345200711,0.34523050775440833,0.00152985554932533
traditional_bf524k_cms256x1024,130000,00000,2026-05-22T02:57:38,470038,435454,34584,2678,0.92642297005774,4939940,4489608,0.9088385688895007,0.3761269847102105,0.2711937097304111,0.8503056580029119,0.0,0.0,0.0,0.0,1.0,0.37632257686333126,0.37632257686333126,0.3638705522460151,0.18193527612300756,0.35607086436470325,0.11869028812156604,0.39127289234392065,0.06848366572027027,0.36358071920428464,0.020079616875184073,0.39652956298200515,0.0017606635707083703
traditional_bf262k_cms256x1024,130000,00000,2026-05-22T03:01:10,470038,356297,113741,2359,0.7580174368880814,4939940,4207211,0.8516724899492706,0.5166813080098906,0.36668852303923377,0.7609859190506796,0.0,0.0,0.0,0.0,1.0,0.5180504587155963,0.5180504587155963,0.4976090936415553,0.24880454682077766,0.49895263193459016,0.16631754397819665,0.5320227099398356,0.09311308027433716,0.5053377743616022,0.027491030145664248,0.5216614560071461,0.002292343556189308
