src_ip,dst_ip,proto,src_port,dst_port,true_pkts
0.25.230.194,161.30.60.48,17,19349,57374,2
100.100.101.104,175.84.11.46,6,62601,23,1
100.101.182.74,170.199.74.59,6,23,10779,1
100.101.69.145,182.231.179.233,17,17166,38386,1
100.102.32.153,170.199.98.177,6,42640,1433,1
100.102.32.153,180.212.219.61,6,42640,1433,1
100.102.4.238,202.209.116.168,6,23,50133,2
100.102.48.108,161.159.172.201,6,59156,8080,10
100.102.48.108,162.67.229.75,6,59136,41881,10
100.102.52.55,184.253.142.73,17,51413,41208,1
100.10.252.98,175.84.142.83,6,443,38096,5
100.10.252.98,175.84.155.86,6,443,59952,10
100.10.254.100,162.102.141.120,6,443,45992,1
100.10.254.100,173.219.126.105,6,443,47597,2
100.10.254.100,173.219.126.105,6,443,56235,7
100.10.254.100,173.219.126.105,6,443,60269,2
100.10.254.100,175.240.5.106,6,443,57192,2
100.10.254.100,175.240.5.106,6,443,60260,3
100.10.254.100,175.240.5.106,6,443,64568,3
100.10.254.108,161.146.189.73,6,443,33016,5
100.10.254.108,161.192.11.156,6,443,11749,6
100.10.254.108,161.34.213.2,6,443,5279,3
100.10.254.108,162.67.175.176,6,443,3321,3
100.10.254.108,175.240.17.141,6,443,36257,8
100.10.254.108,175.240.5.106,6,443,49823,20
100.10.254.108,175.240.5.106,6,443,52844,2
100.10.254.108,175.240.5.106,6,443,52931,8
100.10.254.108,175.240.5.106,6,443,55723,2
100.10.254.108,175.240.5.106,6,443,56628,7
100.10.254.108,175.240.5.106,6,443,56916,8
100.10.254.108,175.240.5.106,6,443,57693,4
100.10.254.108,175.240.5.106,6,443,59388,1
100.10.254.108,175.240.5.106,6,443,60132,3
100.10.254.108,175.240.5.106,6,443,61104,7
100.10.254.108,175.240.5.106,6,443,61523,1
100.10.254.108,175.240.5.106,6,443,61967,3
100.10.254.108,175.240.5.106,6,443,62375,7
100.10.254.108,175.240.5.106,6,443,63478,5
100.10.254.108,175.240.5.106,6,443,63867,8
100.10.254.108,175.240.5.106,6,443,64171,6
100.10.254.108,175.240.5.106,6,443,64278,57
100.10.254.108,175.240.5.106,6,443,65213,3
100.10.254.108,175.240.5.106,6,443,65461,1
100.10.254.108,175.69.117.154,6,443,34718,3
100.10.254.108,175.70.206.48,6,443,39113,2
100.10.254.108,175.70.254.248,6,443,59795,2
100.10.254.108,175.73.174.242,6,443,40467,5
100.10.254.108,175.84.132.147,6,443,15636,7
100.10.254.108,175.84.133.136,6,443,27194,2
100.10.254.108,175.84.133.176,6,443,56552,1
100.10.254.108,175.84.149.166,6,443,21345,4
100.10.254.108,175.84.149.24,6,443,36414,8
100.10.254.108,175.84.150.247,6,443,52046,1
100.10.254.108,175.84.151.42,6,443,8551,1
100.10.254.108,175.84.153.79,6,443,52089,8
100.10.254.108,175.84.154.40,6,443,47078,6
100.10.254.108,175.84.158.66,6,443,55263,2
100.10.254.108,175.84.161.170,6,443,13138,5
100.10.254.108,45.169.212.68,6,443,60246,9
100.10.254.109,131.73.130.181,6,443,48394,8
