src_ip,dst_ip,proto,src_port,dst_port,digest_count,estimated_packets,solver_path
47.245.35.40,45.225.134.174,17,42621,1900,1,5,min
192.6.179.134,72.244.38.41,1,0,0,1,1,min
30.58.56.131,158.48.141.157,17,53,17103,1,2,min
179.160.116.150,202.148.122.211,6,10051,55406,1,1,min
30.58.56.131,158.48.141.156,17,53,14702,1,1,min
137.181.111.13,161.158.21.11,6,4001,32554,1,2,min
82.96.243.186,180.232.201.33,6,54675,4522,1,1,min
194.157.96.131,175.71.113.137,6,51567,3449,1,1,min
169.154.177.80,175.69.240.250,6,40727,23764,1,2,min
77.120.237.72,161.158.23.248,6,443,60776,1,1,min
163.170.150.88,162.99.3.217,6,23845,23,1,1,min
169.94.32.49,202.209.125.227,6,443,18222,1,1,min
82.96.243.186,203.99.171.78,6,54675,4509,1,1,min
167.181.129.182,117.154.164.114,6,57095,445,1,1,min
34.248.31.204,175.84.167.38,6,443,42171,1,1,min
222.188.31.61,158.48.141.159,17,53,20221,1,1,min
67.72.71.174,182.18.67.120,6,65345,23,1,1,min
2.69.55.221,175.73.220.109,6,41011,4040,1,3,min
169.122.108.244,175.69.149.64,6,47910,3388,1,1,min
146.55.97.253,146.55.105.101,6,12046,443,1,2,min
213.102.110.99,199.124.196.3,6,443,45329,1,2,min
69.37.81.194,170.239.244.9,6,993,59925,1,1,min
52.108.248.39,161.90.125.212,6,443,18512,1,1,min
79.127.180.42,170.250.31.28,6,52631,5893,1,1,min
180.211.1.253,72.245.39.27,6,51049,443,1,4,min
51.143.46.164,182.22.79.132,6,443,49073,1,1,min
55.89.36.221,199.124.196.113,6,443,17318,1,1,min
45.227.253.244,175.70.251.78,6,52726,1455,1,2,min
146.55.90.81,146.55.105.205,17,4144,2001,1,1,min
79.127.180.42,161.30.59.129,6,52631,5944,1,1,min
37.203.118.173,180.120.208.74,17,10388,6872,1,1,min
89.94.9.211,136.199.45.243,6,45905,4119,1,1,min
119.101.70.81,146.55.105.97,6,80,36218,1,2,min
146.55.87.224,146.55.105.92,6,19042,80,1,1,min
79.127.180.42,45.231.133.54,6,52631,8015,1,1,min
114.0.234.16,170.227.27.133,6,58313,3788,1,2,min
213.13.166.45,180.211.115.34,6,443,60283,1,2,min
140.224.186.61,158.48.141.193,17,53,18456,1,1,min
30.35.217.211,162.160.152.70,1,0,0,1,3,min
194.157.96.131,161.40.205.16,6,51567,3505,1,1,min
47.53.90.133,161.55.27.12,6,5222,39318,1,1,min
49.113.129.126,173.219.141.57,6,10409,8999,1,1,min
213.5.4.231,143.110.97.69,6,443,40906,1,2,min
203.57.111.253,175.84.142.173,6,443,15783,1,1,min
79.127.180.42,161.190.174.43,6,52631,5944,1,1,min
186.44.56.189,203.99.189.60,6,443,54571,1,1,min
75.193.132.24,161.52.212.59,6,443,58495,1,1,min
94.223.153.45,175.240.19.130,6,55416,32904,1,1,min
94.20.168.156,158.48.141.218,17,53,6068,1,3,min
223.231.0.249,203.80.0.114,17,15130,53,1,5,min
6.105.217.124,158.48.141.192,17,53,13726,1,1,min
212.185.74.85,161.72.0.254,6,443,50081,1,5,min
94.21.84.159,158.48.141.156,17,53,46903,1,1,min
55.89.36.221,199.124.196.113,6,443,17324,1,9,min
55.88.88.94,175.84.147.45,6,443,35588,1,5,min
30.33.127.154,162.188.194.248,6,52139,9050,1,1,min
106.89.99.153,175.73.180.3,1,0,0,1,1,min
